epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,230.425,1.26206,2.78807,1.47726,0.78325,0.65756,0.7414,0.40867,1.79714,6.29054,1.05928,0.00999035,0.00333012,0.00999035,0.00333012,0.00999035,0.00333012,0.00999035,0.00333012
2,417.719,1.39351,1.74238,1.56227,0.70206,0.62702,0.66464,0.3428,1.9574,3.15179,1.13961,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748
3,593.106,1.54131,1.75234,1.68213,0.64038,0.55833,0.56689,0.2643,2.08993,3.02343,1.22154,0.0293965,0.00979885,0.0293965,0.00979885,0.0293965,0.00979885,0.0293965,0.00979885
4,763.234,1.55367,1.71243,1.69933,0.56752,0.60341,0.55366,0.30577,1.99421,3.11465,1.18584,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,939.089,1.48577,1.54639,1.63688,0.77788,0.6972,0.75364,0.42695,1.79056,2.21179,1.12026,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1117.62,1.4264,1.42457,1.58812,0.80111,0.69426,0.74437,0.39848,1.78541,2.42257,1.10872,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1288.48,1.3777,1.3416,1.55252,0.85359,0.74617,0.80342,0.47145,1.70175,2.00912,1.08267,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1459.92,1.34762,1.26811,1.52017,0.83251,0.73726,0.78902,0.478,1.73642,1.49261,1.06752,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1629.29,1.30662,1.2111,1.49157,0.86042,0.74778,0.81485,0.49925,1.69683,1.61311,1.05267,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1808.15,1.28033,1.17237,1.47619,0.85527,0.76655,0.82566,0.51058,1.58037,1.47492,1.02115,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1988.23,1.28343,1.15446,1.47413,0.88369,0.78268,0.84903,0.53636,1.59227,1.34109,1.00981,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2168.4,1.261,1.13222,1.46214,0.88929,0.76913,0.84188,0.52977,1.58273,1.36739,1.02606,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2340.4,1.23645,1.08333,1.44322,0.90975,0.79086,0.86534,0.55765,1.52467,1.45857,0.99446,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
